token_address,token_name,token_symbol,decimals
terra1kdfsdm3c4reun9j3m4mk3nmyw4a4ns7mj24q3j,"AstroPug Token","PUG",6
terra1hnezwjqlhzawcrfysczcxs6xqxu2jawn729kkf,"Orne Token","ORNE",6
terra14vz4v8adanzph278xyeggll4tfww7teh0xtw2y,"Terra Name Service","TNS",6
terra1td743l5k5cmfy7tqq202g7vkmdvq35q48u2jfm,"Thorstarter","XRUNE",6
terra1366wmr8t8rrkh6mag8fagqxntmf2qe4kyte784,"Alpha Pack Token","aLOT",0
terra1z09gnzufuflz6ckd9k0u456l9dnpgsynu0yyhe,"CurioSITY play to earn token","SITY",6
terra13zx49nk8wjavedjzu8xkk95r3t0ta43c9ptul7,"GLOW Token","GLOW",6
terra100yeqvww74h4yaejj6h733thgcafdaukjtw397,"Apollo DAO Token","APOLLO",6
terra1a7ye2splpfzyenu0yrdu8t83uzgusx2malkc7u,"Allbridge","ABR",6
terra1y3d5qexmyac0fg53pfglh2pjk0664ymfvcq9mc,"Global Transaction Payment Solu","whGTPS",8
terra1dh9478k2qvqhqeajhn75a2a7dsnf74y5ukregw,"Prism Token","PRISM",6
terra1l0y8yg0s86x299nqw0p6fhh7ngex3r4phtjeuq,"Space Dollar","SDOLLAR",2
terra1ku5e0dhutxhuxudsmsn5647wwcz6ndr3rsh90k,"SAIL","whSAIL",6
terra1rl0cpwgtwl4utnaynugevdje37fnmsea7rv4uu,"SolanaSail Governance Token V2","whgSAIL",8
terra1042wzrwg2uk6jqxjm34ysqquyr9esdgm5qyswz,"xPRISM Token","xPRISM",6
terra18yqdfzfhnguerz9du5mnvxsh5kxlknqhcxzjfr,"","mHOOD",0
terra1vru3mk2ne3jqpwg24wm5mg2356cg5ead0tae2s,"","DAN (Meme Token)",0
terra1kdfcxec8qu3qd3kt02h4ysr3a2ez8k6cj2093n,"","PylonDP",0
terra10f2mt82kjnkxqj2gepgwl637u2w4ue2z5nhz5j,"nLuna Token","nLuna",0
terra178v546c407pdnx5rer3hu8s2c0fc924k74ymnn,"nETH Token","nETH",0
terra1jsaghv4tsltlk4ka6u3pg0msccdz0xsz0vkhcg,"","RANGO",0
terra1cw7znqh9w5f2ryyskq76fmxhj9hdl06uv0j0cd,"","xASTRO",0
terra1cl7whtrqmz5ldr553q69qahck8xvk80fm33qjx,"ATLO Token","ATLO",0
terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,"cLUNA Token","cLUNA",0
terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,"pLUNA Token","pLUNA",0
terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,"yLUNA Token","yLUNA",0
terra1w0p5zre38ecdy3ez8efd5h9fvgum5s206xknrg,"vUST Token","vUST",0
terra188w26t95tf4dz77raftme8p75rggatxjxfeknw,"sKUJI Token","sKUJI",0
terra1dj2cj02zak0nvwy3uj9r9dhhxhdwxnw6psse6p,"NIO Inc.","mNIO",6
